prediction;gold;sentence 
negative;negative;ein unwã¼rdiger auftritt zum 50 jã¤hrigen jubilã¤um.leider hat die zeit 007 eingeholt ...
positive;positive;ich habe nicht viel zu dem film zu sagen, auãÿer, das e ein absolute meisterwerk ist, da pixar wieder zu alter kraft zurã¼ck findet und da e einer meiner absoluten lieblingsfilme geworden ist, warum?
negative;positive;genial gespiel!
positive;positive;fazit: geht mit eurer familie in kino.
negative;negative;scheiâ€¦, wa hab ich mich auf den film gefreut und scheiâ€¦, wie bin ich doch enttã¤uscht.
positive;positive;die musik ist hervorragend in den film eingebaut und sogar die moderneren hiphop-tã¶ne passen zur western(southern)-kulisse wie die faust aufs auge.
negative;positive;mir gefã¤llt er daher um einiges besser al crash, wirklich ein meisterwerk, welches noch lange nachhã¤lt.
positive;positive;ein guter film aber nicht fã¼r jederman.
positive;positive;alles in allem sehr gut gemacht, und auch die trick sind gut geworden.
negative;positive;vor allem ist e aber ein charakterdrama das,mit mystery- elementen aufgepeppt, einen unglaublich unterhaltsamen, spannenden und tiefsinnigen film ergibt.
negative;positive;trump meist ã¼berschã¤tze schauspielerin zeigt, wie sagenhaft falsch der potus auch in dieser seiner einschã¤tzung liegt.
positive;positive;wer also den ersten teil mochte wird auch den lieben!
negative;positive;"sinfonie gelang, wa chuck berry mit johnny b. goode gelang, wa goethe mit seinem ""faust"" schaffte - da schaffte kubrick mit ""2001""."
negative;positive;um e kurz zu machen, bester spidey ever.
negative;positive;auãÿerdem gefallen mir besonders die ersten ca 15 minuten de filmes.
positive;positive;ich geb ja zu, daãÿ da ganze wieder recht komplex geworden ist, und n bissel mehr prometheus-musik an manchen stellen wã¤r gut gewesen, aber so hat man beim 5.
negative;positive;ich habe selten eine bessere schauspielerische leistung gesehen.
negative;positive;ablauf und ausfã¼hrung ã¤hneln klar einem pogrom, wie e auch in nazideutschland nach dem reichstagsbrand hã¤tte vorkommen kã¶nnen.
positive;positive;er besitzt die gleiche atemberaubende spannung wie da buch.
negative;positive;auslã¶schung ist einer der atmosphã¤rischen sci-fi-filme der letzten jahre und alex garland knã¼pft mit diesem film scheinbar mã¼helos an sein brillantes regie-debã¼t ex_machina an.
positive;positive;ein ã¼berraschender film von jemandem dem man so kaum zugetraut hã¤tte: julie delpy ist eine stã¤ndige, regelmã¤ãÿige nebendarstellerin wenn mal wieder ne franzã¶sische geliebte o.ã¤.
positive;positive;e wird von anfang an eine klare linie bi zum ende durchgezogen.
positive;positive;die schauspieler law, f.w., braga und schreiber allesamt gut.
positive;negative;(oder hab ich da falsch verstanden?)
positive;positive;die inszenierung ist bi in aller kleinste detail perfekt.
positive;positive;da mus man sich mal klarmachen!
negative;positive;ich gebe ihm 4,5 von 5 sternen.
negative;positive;nichts anderes verspricht schlieãÿlich auch der trailer.
negative;positive;also jetzt, wo ich die ganzen kritiken gelesen habe, will ich, ja mus ich auch wa dazu schreiben.
positive;positive;ich hoffe in den zwei siebener teilen wird nocheinmal versucht da beste zu schaffen um einen wã¼rdigen abschluss der filme zu bieten.
positive;positive;durchgehend schwanken der stil und die art de film zwischen drama, thriller und tragã¶die, immer versetzt mit einer prise bitter schwarzen humors.
positive;negative;da wird nicht mal im ansatz erklã¤rt, wodurch e rã¼berkommt wie ein an den haaren herbeigezogener aufhã¤nger fã¼r ein bisschen action zwischendurch.
negative;positive;"ich mã¶chte daher nicht weiter auf diesis grandiose werk eingehen, e sei denn auf ein ganz bestimmtes, wichtiges detail, da â€“ wie ich meine â€“ immer wieder zu kurz kommt: in sieben, einem anderen makellosen meisterwerk fincher's, bringt john doe den bedeutungsschwangeren satz: ""es zu begreifen sind sie [die menschen] gar nicht imstande."""
positive;positive;ein guter film mit klasse schauspielerischen leistungen
negative;positive;gute schauspieler, gute action, gute kamerafã¼hrung, gute dramatische szenen, dã¼nne story die aber zã¼gig und geradlinig erzã¤hlt wird.
positive;positive;man sieht diesem film von anfang an jeden cent seine 14 mio. dollar-budgets an, wie z.b. direkt bei strombergs atlantis, da sowohl von innen al auch auãÿen einen groãÿartigen geschmackvollen anblick bietet.
negative;negative;dafã¼r erhã¤lt er meine gesamte verachtung.
negative;positive;ein guter killer ist nicht nur, wer einen gegner erschieãÿt.
negative;positive;dort gibt e sehr viele promis (einschlieãÿlich sogar rihanna) zu entdecken.
negative;negative;au dem buch weiãÿ ich, das sie snape in schutz nimmt.
negative;negative;nein danke.
negative;positive;"das david fincher nach ""sieben"" mit einem weiteren thriller noch eine schippe drauflegen kã¶nnte, hã¤tte niemand gedacht."
negative;positive;in einem buch ã¼ber die filme hatte ich auch einen wichtigen aspekt ã¼ber indys verhalten gegenã¼ber religion gelesen.
positive;negative;den film gerettet hã¤tte.
negative;positive;weniger satire, mehr psychostudie vor krassem hintergrund, die in hirn wie in den magen schlã¤gt.
negative;positive;dafã¼r 9/10 !
negative;positive;er besticht durch atmosphã¤re und schlichtweg kã¶nnen.
positive;positive;der rest de film ist meiner meinung nach einfach nur genial.
negative;positive;"(capa und mace) selbst die ""weicheier"", die bestimmte fã¼r die mission nã¶tige aber menschlich abgrã¼ndige aktionen ablehnen, sind ã¼berzeugend in ihrer darstellung und ihren argumenten."
negative;positive;da problem mit dem mobbing und dem internet und dem sich befindenden sozialen netzwerken.
positive;positive;in diesen film ist da vor allem wichtig.
positive;negative;man muãÿ nicht immer tiefgrã¼ndige filme sehen !
negative;positive;wird doch am besten verdeutlicht al er im flugzeug seiner assistentin die anekdote au seiner kindheit erzã¤hlt, und nachdem er die flã¼chtlinge im afghanischen lager sah, kam natã¼rlich wieder sein gerechtigkeitssinn auf.
negative;negative;dennoch zielt â€ždas a-teamâ€œ auch nur darauf ab, dã¤mlich zu sein und action abzuliefern.
positive;positive;da pathos wirkt beinahe klischeehaft, denn e wird von kameraeinstellungen, musik, tristen locations, al auch von den hervorragenden willem dafoe und bruno ganz, permanent und exsessiv erzeugt.
positive;positive;copley legt auãÿerdem eine beeindruckende schauspielerische leistung hin, weit ã¼ber dem standart de sprã¼che raushauenden ballerhelden.
negative;negative;a. jolie in dieser rolle.
negative;positive;ash wird hier zum richtigen sympathietrã¤ger.
positive;negative;mittelmã¤ãÿiger film.
negative;positive;die ganze atmo ist beeindruckend und beklemmend!
positive;negative;"ich habe jodie picoults ""19 minuten"" gelesen und war begeistert, e ist eines meiner lieblingsbã¼cher."
negative;negative;weil der chef kriegsheld und ãœberlebender ist, ist er fã¼r die frau im gegensatz zum humpelnden hausmeister natã¼rlich al partner attraktiv, worunter der untergebene leidet.
negative;positive;daher von mir 4 von 5 punkten.
negative;positive;10 punkte
positive;positive;genug mit ãœbertreibungen, das der film ein reinfall und das er erst ab 18 freigegeben werden sollte.
positive;positive;der film ist eine animierte trickfilm-doku welche ich so noch nie gesehen habe.
positive;positive;und wie e sich fã¼r den frã¼hen jackson gehã¶rt wird auch wieder ordentlich gesplattert.
negative;negative;der weitere schwachpunkt de filmes sind ganz klar die charaktere.
negative;positive;â€ždie chroniken von narniaâ€œ, â€žpercy jacksonâ€œ oder gar â€žtwilightâ€œ?
positive;positive;der film beginnt eher etwas ruhig , ist in der 1.
positive;positive;ein gã¶ttliches filmmonument, da seinesgleichen sucht.
negative;positive;"der film bietet einen atemraubenden schnitt, und wechselt immer im richtigen moment die szene, soda die einzelnen ""episoden"" zu einem einzigartigen, so oft ich ihn auch gesehen habe, nie langweiligen flu verschmelzen."
positive;negative;"bisher sah ich von steve mcqueen nur ""12 year a slave"", welcher mich begeisterte, und mich dazu veranlasst hat nun auch sein oft al meisterwerk bezeichneten film ""shame"" anzuschauen."
negative;positive;3.
positive;positive;(15.02.2011) - ergã¤nzung: manch einer scheint hier mit falschen erwartungen in kino zu gehen.
positive;positive;atmosphã¤risch dichter film, vielleicht etwas zu sehr mit psychologischen klischees beladen.
negative;positive;aber imelda staunton hat sie so ã¼berzeugend fies und ã¤tzend gespielt da ich ihr diese rolle wirklich abgenommen habe.
negative;positive;doch da ist er ja nicht, wa fã¤lschlicherweise auf der verpackung steht.
negative;negative;vã¶llig hirnfreien fallschirmszenen(ende: shockwave kã¤mpft gegen fallschirm?!?!)
negative;positive;"ich wusste vorher gar nicht, das e sich sozusagen um den vorfilm von ""jay und silent bob schlagen zurã¼ck"" handelt."
positive;negative;die ersten bilder de film â€žnocturnals animalsâ€œ zeigen stark ã¼bergewichtige burlesque-tã¤nzerinnen, die ihre arme und beine schlenkern lassen und sich im kreis wiegen.
positive;negative;hab den film nicht ausgesucht, sondern (leider) in einer sneak-preview gesehen.
positive;negative;leider kann ich da von dem film nicht sagen er ist von den bisherigen 6 der schlechteste.
positive;positive;matrix,spider-man...
positive;negative;e folgt noch ein spinnoff ohne matt damon, dafã¼r mit jeremy renner, der allerdings in deutschland eher magere einspielergebnisse lieferte.
negative;positive;ignoranten, die seine erfolgsgeschichte nicht wahrhaben wollen und den zauber diesis filmes nicht verstehen, mus und wird e immer geben.
negative;positive;die schauspielerleistung von august diehl al immer paranoider werdender karl koch ist besonders hervorzuheben.
positive;negative;zwar war die schauspielerische leistung der hauptdarsteller gut, vor allem die der mutter, dennoch hat mich dieser film enttã¤uscht.
negative;positive;diese wird dann zusã¤tzlich noch von dem grandiosen soundtrack untermalt, welcher wirklich unter die haut geht und in verbindung mit den bildern ein wunderschã¶nes bild zeichnen kann.
negative;positive;vorallem ã¼berrascht hat mich diese apokalyptsiche, fahle und schwarz-weiãÿe landschaft die durch immer wieder farbige blickfã¤nge wie aerith' blumenbeet oder vincents umhang nie an attraktivitã¤t verliert.
negative;positive;weit besser al die never back down teenie-mma-schmonzetten und soweit der beste film mit mma hintergrund.
negative;negative;[...]wo e der â€žalienâ€œ-reihe gelang, durch wechselnde grundstimmung und setting variablen in ein an sich kaum weniger starres konzept zu transportieren, will auch â€žpredator 2â€œ dy durch schauplatz, story und charaktere erreichen, aber so stur die kreatur ihrem beutezug nachgeht, so wenig passt da brimborium um sie herum dazu, so wenig wirkt e auf sie und so wenig ã¤ndert e sie in irgendeine originelle richtung.
positive;positive;9/10 punkten, da e mir auch stellenweise ein bissel zu ã¼berzogen kitschig war.^^ aber da ist denke ich geschmackssache.
negative;positive;trotz der schwierigen thematik bleibt die darstellung der aktionen stets glaubwã¼rdig.
negative;negative;da ist aber nicht das, wa ich am kino faszinierend finde und wa die stã¤rke de kino ausmacht.
positive;negative;wie seine protagonisten im film, will auch regisseur david rountree mit nur einfachen mitteln und verkaufsfã¶rdernder thematik erfolge feiern und schnelles geld machen.
negative;negative;wir haben also einen action-film mit jason statham in dem die action fehlt und statham eine absolute fehlbesetzung ist.
negative;positive;ã¢âžherr der ringeã¢å“ beispielsweise gehãƒâ¶rt fãƒâ¼r mich zwar zur besten trilogie, hat aber sicherlich nicht dem anspruch sich auf historische gegebenheiten zu berufen.
positive;negative;die darsteller: fast durchweg gut, leider finde ich matt damon extrem fehlbesetzt.
negative;positive;wer ausschlieãÿlich auf pure action und faszinierende bilder der science-fiction au ist, dem wird interstallar nicht wohl nicht gefallen.
negative;positive;ðÿ˜ðÿ˜ðÿ™‡ðÿ™‡
positive;negative;leider trifft e diesen film nicht positiv.
positive;positive;sobald aber der hã¶hepunkt stattfindet (das ableben von candie), verliert der film irgendwie an luft.
positive;negative;e sei denn man genieãÿt auch eine steuerprã¼fung oder eine wurzelbehandlung beim zahnarzt.
negative;negative;zumal bin ich sicher da alle etwas voreingenommen sind wa die rolle von jim carey angeht , der spielt ja bekanntlich n ganz anderes genre und ich fand da die rolle so gar nicht zu ihm passte.
positive;positive;"der film ""emmas glã¼ck"" hat etwas."
negative;negative;5.
negative;positive;fã¼r letztere hingegen ist e ein wunderbarer kinderfilm mit allem, wa fã¼r die kleinen wichtig ist.
positive;positive;die lã¤nge ist unverzichtbar da sie da zunehmende versinken in die psyche der figur einleiten.
positive;positive;ein toller film mit einer unglaublichen begegnung mit einem bã¤ren.
positive;positive;er platziert eine aufgabe, an der sich die hauptfigur versucht.
negative;positive;e gibt immer wieder erschreckende momente und schockierende szenen, die den zuschauer ganz ohne blutspritzer und ã¤hnliche grausamkeiten hautnah an der allgegenwã¤rtigen angst teilhaben lassen, die vor allem robyn zu spã¼ren bekommt.
positive;positive;al einzig wirklichen kritikpunkt sehe ich, das zuckerbergs figur keine groãÿe entwicklung nimmt, man hã¤tte noch mehr in ihn eintauchen mã¼ssen.
positive;positive;tatsã¤chlich haben 4 herausragende regisseure 4 herausragende filme gedreht und da ist etwas sehr besonderes in der filmwelt.
negative;positive;ich liebe den zweiten wie den ersten teil ich grusel mich bi heute noch.
positive;positive;fazit: groãÿartiges drama voller kraft und emotionen mit grandiosen darstellern, tragischen momenten und eigenartigem ende!
negative;positive;jetzt hab ich ihn mir aif dvd gekauft und noch ein kleiner tipp: schaut den film am besten auf englisch an.
positive;positive;zwar fã¤llt e einem mitunter schwer durch die ganzen verschachtelungen durchzublicken, aber irgendwie ist da wã¤hrend de schauens auch egal.
positive;positive;drum herum geschehen lauter absurde dinge und man wird in eine welt voller surrealer charaktere hineingezogen.
positive;positive;und lã¤chelt dabei in den bewusstsein da dy sein schã¶nster mord sein wird.
negative;positive;wer dort oft isst, der sollte sich den film in jedem fall angucken.
positive;positive;tatsã¤chlich ist der film in vielen punkten so verdammt ehrlich und realistisch, das man e eigentlich kaum wahrhaben will.
negative;positive;"b. nicht schon nach dem ""1."
positive;positive;ob e jetzt vier oscar sein mã¼ssen - weiãÿ ich nicht so recht.
positive;positive;da mus die bestsellerliste wohl an mir vorã¼bergegangen sein.
positive;negative;ich fand den film ehrlich gesagt ein wenig zu langweilig und langatmig.
positive;positive;dann kann dieser groãÿartige film fesseln unterhalten und nachdenklich machen.
negative;positive;und da ist zeitweise so unglaublich schlecht, das e echt schon wieder grandios und fabelhaft ist.
negative;positive;e ist schrecklich mit anzusehen wie die passagiere ihre eltern/freunde anrufen und sich verabschieden.
negative;positive;ein guter katastrophenfilm.
negative;positive;die geschichte ist so rã¼hrend umgesetzt und doch humorvoll und witzig, bleibt aber doch ernst.
positive;positive;mittlerweile habe ich den film 17 mal gesehen.
positive;positive;"may oder im original ""still life"" ist kein hollywoodkino, aber ein wunderbarer film mit vielen kleinen bemerkenswerten und auch - trotz de morbiden themas - lustigen szenen."
negative;positive;*action* die kreisenden hã¼ften bei den tanzszenen??
positive;positive;fã¼r mich ist die szene, wo pacino und de niro in einem cafã© sitzen, ein hã¶hepunkt der filmgeschichte.
negative;positive;"sie sind allein, ganz allein...., wa wã¼rden sie tun?"""
negative;positive;vor.
negative;positive;und erst recht den normalen kinobesucher - 5 sterne!
positive;positive;gerade durch den hervorragenden 3d-effekt wird man in die welt de hugo cabret hineingezogen.
negative;positive;absolut empfehlenswert!
negative;negative;doch e geht noch krasser!
positive;positive;ich finde alles wa mit harra potter zu tun hat cool wobei e wirklich stimmt da die bã¼cher besser sind al der film.
positive;positive;die tanzszene im abspann ist natã¼rlich bollywood geschuldet,macht aber eher den eindruck de aufwã¤rmens, wenn man e in vergleich setzt mit ã¤hnlichen hindi- oder tamil-tanzszenen.
negative;positive;wie rein und friedlich doch so eine kinderseele sein kann.
negative;positive;geht e doch in den meisten an kindern orientierte animationsfilme um freundschaft und vertrauen, wird hier ein viel erwachseneres thema angeschnitten.
positive;positive;"aber freunde von filmen wie ""jfk"", sei ""zodiac"" wã¤rmstens empfohlen."
negative;positive;habe keine kritik.
negative;positive;aber letztendlich ist doch alles verbunden, in diesem fall klassisches hollywood-actionkino mit wirklich neuen und innovativen erzã¤hlideen.
negative;positive;die schauspieler sind meiner meinung nach perfekt gewã¤hlt und auch die geschichte fesselt ungemein.
positive;negative;ich finde oliver stone hã¤tte regie fã¼hren sollen, in jfk haut er auch so schã¶n mit dem holzhammer in heikle thema.
positive;positive;kick as mus man meiner meinung nach einfach lieben!
negative;positive;ihr nachbar paul ist ein mittelloser schriftsteller und passt so gar nicht in ihr beuteraster.
negative;negative;von verschnaufpause keine spur!
negative;positive;teilweise dermaãÿen grandios in szene gesetzt, gerade auch die szenen mit lupita nyong'o (die vollkommen zurecht eine oscar-nominierung erhalten hat) sind so dermaãÿen intensiv, das einem die haare zu berge stehen.
negative;positive;der kinozuschauer kann die einzigartigen dã¼fte und deren wirkung auf die menschen nur erahnen, die sã¼skind einst so ausufernd beschrieb und veranschaulichte.
positive;positive;der film wurde ã¤uãÿerst kurzweilig und humorvoll umgesetzt.
negative;positive;sehr anspruchsvoll, nicht leicht anzusehen, gã¤nzlichst schockierend, aber ebenso beeindruckend durch schnitt, ton und schauspielerleistung.
negative;positive;brã¼gge sehenâ€¦ und sterben?
positive;positive;: jake gyllenhaal in seiner besten rolle seit donnie darko.
negative;negative;hatten un mehr erhofft.
positive;positive;man hat im prinziep nichts anderes getan al etwas au dem ersten teil herauszuschneiden.
positive;negative;"am ende stellt man sich dann die frage, die man eigentlich nie stellen mã¶chte: ""...und da war jetzt??"""
positive;positive;ich finde den film gut, er ist action geladen und teilweise wird auch mal ein scherz gemacht.
positive;positive;da allein wã¤re gar nicht schlimm, wenn derartige filme und ihre protagonisten nicht mit einem gesellschafts- und sozialkritischen anspruch daherkã¤men, insbesondere grass, der e sich nicht verkneifen konnte, im film zu demonstrieren, wie gut er sich mit gerhard schrã¶der versteht: kã¼sschen hier, ein bussi dort.
positive;negative;und garantiert ist e auch kein film, sich ã¼ber unsere westlichen nachbarn zu amã¼sieren.
positive;positive;an board de flugzeugs befinden sich vier terroristen, die kurzerhand da kockpit ã¼bernehmen und einen passagier, die zwei piloten und eine stewardess erstechen.
positive;positive;denke durchschnittliche leute werden mit diesem film nichts anfangen kã¶nnen, sondern man mus einfach offen und gedanklich nicht eingefahren fã¼r so ein film sein.
negative;negative;...ich wei nicht wa die anderen die den film so gut bewerten gesehen haben, der sherlock holmes den wir gesehen haben war schrecklich langweilig, spannungsarm und nicht wert in kino zu gehen.
positive;positive;wenn selbst millionenstã¤dte wie miami fã¼r viele millionen dollar ihre straãÿen erhã¶hen mã¼ssen, um kein opfer von durch den anstieg de meeresspiegels bedingten ãœberflutungen zu werden, dann greift man sich an den kopf, wenn wenig spã¤ter von offizieller seite vehement behauptet wird, der klimawandel sei eine infame lã¼ge, die der wirtschaft schaden soll.
positive;positive;den film in deutsch zu gucken ist hier also nur zu empfehlen!
negative;positive;joe mitspielt, ist der gute alte bruce willis.
positive;positive;2 - cinematography - close ups and landscape , a marvelous job of contrasts.
negative;positive;insbesondere al ich die tolle darstellerriege (u.a. ralph fiennes, glenn close) bei ihrem teilweise amã¼santen spiel bewundern durfte!
positive;positive;da ende ist ja mal ganz anders al man gedacht hat.
positive;positive;da alles wird mit einer tollen inszenierung serviert.
positive;positive;der film macht einfach spaãÿ!
negative;positive;gã¤nsehaut pur und ich habe echt ein paar trã¤nen rollen lassen!
negative;positive;ob ein herz wirklich reicht, um den konflikt zwischen den herrschenden und den arbeitern zu besã¤nftigen, ist fraglich - dennoch ist die dystopische zukunftsvision bi dahin wegweisend.
positive;negative;mit dem film hat diese neue filmische sturmfront rein garnichts zu tun, trotzdem sind ã„hnlichkeiten kaum zu vermeiden.
negative;positive;danach wird die familie eingefã¼hrt und e wird sich ein bisschen zeit gelassen.
negative;positive;"""snatch"", da ist ein wahrer diamant, um den sich der ganze ã„rger auch wirklich lohnt!"
negative;positive;ich bin bekennender fan von filmen, die eine unheimliche atmosphã¤re austrahlen, ohne dabei vlut flieãÿen zu lassen.
positive;positive;ich bin wirklich ziemlich begeistert von dem film, da ich die thematik einfach hochspannend finde.
positive;positive;der film bietet tolle unterwasseraufnahmen, auch wenn die einfã¼hrungssequenz de films, noch nicht so ganz ã¼berzeugend fã¼r mich war, ist der spã¤tere filmverlauf ein absoluter volltreffer.
negative;positive;rundum ist ghost in the shell ein sehr fesselnder actionfilm mit einer ã¼berragenden scarlett johansson und einer tollen story, mit kleinen schwã¤chen in der story und der wahl der schauplã¤tze, sowie im spannungsbogen.
positive;positive;wenn nicht, sogar der beste animationsfilm!!!
negative;positive;gesprã¤che, die ausschlieãÿlich nach der nã¼tzlichkeit von informationen gefiltert werden, die einem irgendwo demnã¤chst einen vorteil verschaffen kã¶nnten.
negative;positive;die geschichte ist bissig und zeigt da leben der amerikanischen kleinstadt familie so etwas von realistisch, das e einem schon wieder leid tut.
negative;positive;dã¼rfte doch wohl jeder kennen, oder?
negative;negative;nicht schlimm fã¼r den zuschauer, aber hart fã¼r meg ryan â€“ selbst in ihrer standardrolle will sie keiner mehr sehen!fazit: routinierte liebeskomã¶die mit originellem zeitreisebackground und einem charmanten hugh jackman â€“ insgesamt aber nur durchschnitt!
positive;positive;die richtige mischung au star wars, western und den fantasiewelten von myst (computerspiel).
negative;positive;die schauspielerische leistung der darsteller ist einwandfrei.
positive;positive;dieser film ist zweifelsohne der beste de jahres.
positive;positive;wer also einen film mit viel handlung erwartet, der wird hier enttã¤uscht.
positive;positive;den mus man gesehen haben und kann in auch mehr al 1x schauen.
positive;positive;dieser film bekommt von mir volle 5 sterne!
positive;positive;sie schafft den spagat zwischen reaktivem racheengel und dem gefã¼hlsbetontem bewusstsein der kriminalitã¤t de eigenen handelns.
positive;negative;da ja frau rowling einfach mal keine lust mehr hatte ihren zauberlehrling auf ewig durch hogwarts zu jagen, war ein ende der filmreihe mal abzusehen.
negative;positive;e ist halt ein ende zum nachdenken.
positive;positive;e dauert lange, gute 70 minuten bi der superaffe ã¼berhaupt zum ersten mal auftritt - davor nimmt sich der film sehr viel zeit seine charaktere sehr lang und breit vorzufã¼hren und auch ein sorgfã¤ltiges portrã¤t von new york und der wirtschaftskrise 1933 zu zeichnen.
negative;negative;zu blass bleiben die akteure vor dieser kulisse, zu wenig erfasst vinterbergs werkgetreue verfilmung die innere spannung der vorlage zwischen selbstverwirklichung, liebe und leiddenschaft.
negative;positive;und jeder der in so einen film geht, mã¼sste wissen auf wa er sich einlã¤sst.
negative;positive;einfach faszinierendes, groãÿes kino!
positive;positive;meiner meinung nach: einer der besten filme in letzter zeit!
positive;positive;der turm hat mir auch sehr gut gefallen und die schã¶nen langen haare von rapunzel.
positive;positive;"erst wenn man da kino verlã¤sst wird einem klar, welch universelle themen hier eigentlich angeschnitten wurden; die rolle der frau, soziale konflikte und ihre konsequenzen, verzweiflung und wut, ungerechtigkeit und, am lautesten, der unã¼berhã¶rbare ruf nach freiheit."
positive;negative;hallo an alle cineasten, der film seelen hat e geschafft, das ich nach rund 70 minuten den kinosaal verlassen habe.
negative;positive;ich bin begeistert von diesem horrorfilm!
positive;positive;insbesondere robert stadlober al haruo (*gg*) ich kann den film nur jeden empfehlen, auch denen die kein anime mã¶gen.
positive;negative;da 3d ist in diesem film ã¼berhaupt nicht sinnvoll eingesetzt.
negative;positive;"von ""donnie darko"" habe ich immer wieder gehã¶rt ohne groãÿ zu wissen wa fã¼r ein film da eigentlich ist."
negative;negative;zugeben machte ich schon groãÿe augen al ich mehrheitlich auf ã¼berdurchschnittlich gute stellungnahmen zu match point stieãÿ.
negative;negative;ob er besser ist, da bin ich mir noch nicht ganz so sicher.
negative;negative;man erklã¤rt dann auch die entsprechenden fehler, jedoch hat eigentlich schon alles ruiniert und e bleibt noch die unglaubwã¼rdige komponente.
positive;positive;stimmige und gut inszenierte blockbuster-unterhaltung!
negative;negative;pluspunkt.
negative;positive;er hat viel humor, ist spannend und hat sehr viel action.
positive;negative;der film fã¤ngt spã¤t.
positive;positive;der film ist sehr gut inszeniert und wird nicht ã¼bertrieben brutal.
negative;negative;ich bau meine kritik mal chronologisch auf.
positive;positive;"nachdem ich asimov's kurzgeschichte ""der zweihunderjã¤hrige"" gelesen hatte und spã¤ter erfuhr, das sie verfilmt wurde (noch dazu mit robin williams), war ich schon sehr auf den film gespannt."
negative;positive;nicht nbedingt wa fã¼r kleine kinder aber trotzdem klasse.
positive;positive;sehr guter film!
negative;negative;"in district 9 existiert eine derartige logik nicht: die ""wissenschaftler"", die den halbdebilen protagonisten nach seinem unfall untersuchen, scheinen sich geistig in etwa auf seinem niveau zu bewegen, denn ihre gesichter sind vã¶llig ungeschã¼tzt."
negative;negative;in â€œdate nightâ€ versucht nun â€œ30 rockâ€- star tina fey, genau wir ihr serienkollege tracy morgan (cop out), ihre ersten schritte auf der groãÿen leinwand.
negative;positive;die parole lautet: unbedingt reingehen, sich kaput lachen und verdammt viel spaãÿ haben!
positive;positive;!der absolute traummann.alle die gerne liebesschnulzen sehen und jude law gut finden sollten sich den film auf jeden fall angucken!
negative;positive;bb = brad pitt lã¤uft und lebt gegen die zeit, bi er innerlich etwa 83-jã¤hrig und ã¤uãÿerlich al sã¤ugling stirbt.
positive;positive;fazit: der film macht spaãÿ und lohnt den kinobesuch nicht nur fã¼r kinder, sondern auch fã¼r erwachsene.
positive;positive;ein wahnsinn, wie e dieser film schafft spannung zu kreieren.
negative;positive;auch die anfã¤ngliche szenerie de wiener rotlichtmilieus kommt eher ruhig und unspektakulã¤r daher: kein stress, gute unterhaltung mit einer ansprechenden schauspielerischen leistung.
positive;positive;ein unbedingt sehenswerter film.
negative;positive;bisweilen erreichen ihn video-botschaften seiner chef und seiner familie - aufgrund eines defekts in der funkanlage sind jedoch direktkontakte nicht mã¶glich.
positive;positive;da drehbuch ist brilliant, auch wenn hier in 2 punkten die schwachstellen de film zu finden sind: 1.: war der kurzauftritt der alten frau in der form nã¶tig ?
positive;negative;man hat sie nie mehr wieder gesehen.
positive;positive;in dieserlei hinsicht mã¶chte ich auãÿerdem hervorheben, das der film im gegensatz zum roman, die verschiedenen geschichten insgesamt in einen viel grã¶ãÿeren einklang bringt, obwohl dabei teilweise enorme verã¤nderungen zum roman stattfinden.
positive;negative;habe den film gestern in der sneak preview gesehen und mus sagen ich war sehr enttã¤uscht.
negative;positive;viel spaãÿ!
positive;positive;nicht ein film wie jeder andere und absolut zu empfehlen!
positive;negative;wer ohnehin keinen wert auf eine (vernã¼nftigende) handlung legt wird den film zu schã¤tzen wissen, alle anderen werden wohl entã¤uscht werden.
positive;positive;hugh grant spielt al schleimiger drecksack genau gegen sein image und colin firth ist al herzensguter, steifer brite einfach eine wucht.fazit: nette kleine komã¶die mit liebenswã¼rdigen figuren â€“ nicht mehr oder weniger!
negative;positive;aber die waren noch lange nicht so albern.
positive;positive;in den letzten staffeln.
negative;negative;er vermã¶belt alle und denkt sogar 3 schritte vorraus.
positive;positive;und dem film eine schlechtere wertung zu verpassen nur weil da ende aprut und unerwartet kommt ist absurd- der film schafft e ã¼ber die gesamte lauflã¤nge von fast 2 stunden vorzã¼glich zu unterhalten, da spielt da ende keine rolle - death proof ist ein meisterwerk und brauch sich keinster weise hinter anderen tarantino produktionen zu verstecken
negative;positive;die story handelt von.... john wick.... der, ziemlich angepisst, jagd auf die russische mafia macht da diese ihm da letzte genommen haben wa er noch hatte und dy hat ihm sehr am herzen gelegen.
positive;negative;jedoch soll e tatsã¤chlich einfach seine art gewesen sein.
positive;positive;"seine letzte szene bringt seine gesamte schauspielkarriere von seinen anfã¤ngen bi heute ""full circle"" dermassen auf den punkt, das man wirklich den atem anhalten kann."
negative;positive;naja den rest kennt ihr ja alle, deswegen mã¶chte ich mich mal lieber an die anderen kritiker richten.
positive;positive;hoffe da e nicht in diese richtung abdriftet.
negative;positive;ist ein hervorragender thriller geworden, der vor allem durch seine auãÿergewã¶hnliche atmosphã¤re zu punkten weiãÿ.
negative;negative;der hauptdarsteller ist eh absolut farblos, binoche ist auch erstaunlich farblos.
negative;positive;diesen film kann ich jeden empfehlen denn eine story nicht so wichtig ist und er einfach mal bock auf ein gemã¤tzel hat.
negative;positive;passend zu seinem lebensstile, lernt er auch noch seine kã¶nigin kennen, die von margott robbie gespielt wird.
positive;positive;ã¼bertrifft jegliche art davor dagewesener zombiefilme in jeder hinsicht!
